Title,Power,Type,Time,LocationLat,LocationLon
Palauig Solar Power Project,50,Solar,2024,15.3287,119.9725
Pasuquin-Burgos Solar Power Plant,49,Solar,2026,16.4595,121.2039
Feni solar farm,100,Solar,2028,23.2279,91.3118
Shaanxi Wubu wind and solar farm with storage,100,Solar,2024,37.578,110.696
Naga (Camarines Sur) Solar Power Project,1200,Solar,2026,13.6353,123.2526
Dawtec-Looop-Staunch solar farm,15,Solar,2025,33.6278,35.8499
Fujian Longhai Cankun Industrial Park Distributed solar farm,43,Solar,2026,24.4937,117.944
Rengali floating solar farm,300,Solar,2025,21.2777,85.0307
Jaisalmer Manufacturing (Adani Group) solar farm,250,Solar,2024,26.6899,71.2766
Leyte solar farm,240,Solar,2025,11.3447,124.5236
SP - Medco West Bali solar farm,25,Solar,2024,-8.3351,115.2558
Vajiralongkorn Dam solar farm,250,Solar,2031,14.7994,98.5967
Masdar Amarah Solar,100,Solar,2025,31.8333,47.1501
San Pedro Floating Solar Power Project,200,Solar,2026,14.369,121.0505
Shandong Pingyin Meiguizhen (CGN) solar farm,70,Solar,2024,36.2899,116.4493
Kananga-Ormoc II Solar Power Project,300,Solar,2025,11.0493,124.6287
Tuy 4 Batangas Solar Power Project,50,Solar,2024,16.9292,121.1764
"Qinghai Gonghe 1000 MW ""Source/Grid/Load/Storage"" (Fushan) solar farm",700,Solar,2024,35.9868,100.2337
Cadiz City Solar Power Project,56,Solar,2025,10.8739,123.2496
"Qinghai Gonghe 1000 MW ""Source/Grid/Storage/Load"" (China Energy Investment) solar project",100,Solar,2024,36.3797,100.0053
NEOM Green Hydrogen solar farm,2000,Solar,2026,28.0001,35.1794
Hunan Guiyang Leipingzhen Qinglanxiang solar farm,300,Solar,2024,25.9785,112.7472
Shaanxi Wubu wind and solar farm with storage,100,Solar,2025,37.578,110.696
Olongapo solar farm,212,Solar,2025,14.8572,120.2983
Madargonj (RPCL) solar farm,140,Solar,2024,24.8378,89.6906
Nam Theun 2 solar farm,240,Solar,2024,17.9965,104.9539
PP-I solar farm,81,Solar,2024,12.9753,77.7258
Shandong Zhaoyuan Fushan Longwanggou solar farm,300,Solar,2024,37.4014,120.5637
Rizal Floating Solar Project,200,Solar,2026,8.6566,123.4217
South Sumatra solar farm,200,Solar,2024,-3.4497,104.6197
Terra solar farm,600,Solar,2026,14.001,121.001
Total-Artawi Solar PV Park,500,Solar,2024,30.5001,47.8001
Silay 2a Solar Power Project,30,Solar,2026,10.3003,123.8003
Sibline solar farm,15,Solar,2025,33.6221,35.441
Neepco Odisha solar farm,200,Solar,2024,20.7374,84.6893
Dầu Tiếng (Xuan Cau) solar farm,90,Solar,2025,11.4866,106.1982
Ta’anach solar farm,250,Solar,2024,32.6381,35.1964
Javed solar farm,"49,5",Solar,2024,34.6823,71.4284
Bukhara solar farm,250,Solar,2024,39.3045,64.0734
San Manuel (AboitizPower) Solar Power Plant,84,Solar,2026,15.1975,120.9936
Maragondon-Naic-Tanza 2 Solar Power Project,160,Solar,2025,14.3318,120.7703
Vajiralongkorn Dam solar farm,50,Solar,2027,14.7994,98.5967
Parbhani (Renew) solar farm,58,Solar,2025,19.2903,76.6029
Helios Green Ammonia solar farm,700,Solar,2026,24.7072,54.8167
San Ildefonso (Team Philippines) solar farm,44,Solar,2024,15.072,120.9496
Jiangsu Lianyun Meida Banqiao Fishery solar farm,100,Solar,2024,34.661,119.454
Padre Garcia II solar farm,1203,Solar,2026,13.8733,121.2402
Guizhou Liuzhi Special Zone Laohudaping solar farm,100,Solar,2024,26.5964,104.828
Jiangsu Dantu Baoyanzhen (Huarun) Agriculture solar farm,130,Solar,2024,32.1339,119.4284
Jaisalmer Manufacturing (Adani Group) solar farm,250,Solar,2024,26.6899,71.2766
Shindasan Energy solar farm,90,Solar,2025,34.501,126.719
Gamu (Pilipinas Faraday Energy) Solar Power Project,100,Solar,2025,16.7306,121.5407
Iba Palauig Solar Power Project,960,Solar,2024,15.3779,120.0391
Samarkand solar farm,220,Solar,2024,41.356,69.3689
Matarbari solar farm,50,Solar,2024,21.4157,91.5308
Bolbok 2 Solar Power Project,75,Solar,2024,15.1535,121.3182
Qinghai Delingha (China Guangdong Nuclear) Heating/Storage solar complex,800,Solar,2024,37.7743,96.7203
Guizhou Guanling Baiyan Agriculture solar farm,200,Solar,2024,25.9383,105.3569
Sapang Balen Solar 2 Power Project,93,Solar,2026,15.2254,120.5446
Sur Hydrogen Culster solar farm,1900,Solar,2030,22.5654,59.5058
Lal-lo Solar Power Project,95,Solar,2028,18.2001,121.662
Budai solar farm,150,Solar,2025,23.3776,120.1837
Jubail 3B Solar PV Plant,61,Solar,2024,27.0112,49.6582
Guizhou Guanling Zuanziyan Agriculture solar farm,200,Solar,2024,25.9209,105.4472
