Title;Power;Type;Time;LocationLat;LocationLon
Guangxi Qinzhou Great Wall (Jingneng) solar farm;1000;Solar;2100;22,1769;108,524
Hebei Fuping (Huaneng) Forestry solar farm;1000;Solar;2100;38,8197;114,4758
Qinghai Wutumeiren solar farm;1000;Solar;2100;36,9072;93,1588
Shandong Dongying Kenli Offshore solar project;1000;Solar;2100;37,586100;118,531300
Shandong Yantai Laizhou Offshore solar project;1000;Solar;2100;37,181500;119,940600
Xinjiang Bole (Xinhua) Energy Storage solar farm;1000;Solar;2100;45,1942;82,5645
Xinjiang Fukang (Luneng) solar power plant;1000;Solar;2100;44,3478;86,687
Xinjiang Hami (China Three Gorges) Integrated solar farm;1000;Solar;2100;44,7063;94,0963
Xinjiang Hami Shichengzi 1000 MW solar power plant;1000;Solar;2100;43,0296;93,5601
Xinjiang Hamibei (China Power Investment) solar farm;1000;Solar;2100;44,7063;94,0963
Xinjiang Jinghe (Xinhua) Energy Storage solar farm;1000;Solar;2100;44,5804;82,983
Xinjiang Korla Shangku Gaoxinqu Integrated solar farm;1000;Solar;2100;41,6732;85,7162
Xinjiang Nileke (Guodian) Energy Storage solar farm;1000;Solar;2100;43,7886;82,5007
Xinjiang Nileke County Solar and Storage solar project;1000;Solar;2100;43,7886;82,5007
Xinjiang Ruoqiang (Sinohydro) Energy Storage solar farm;1000;Solar;2100;39,0233;88,1658
Xinjiang Ruoqiang (State Development Investment) solar power plant;1000;Solar;2100;38,0619;90,1731
Xinjiang Turpan (Tangshan Haitai) solar power complex;1000;Solar;2100;42,4805;85,4633
